"""Gujarat""","""Gujarat"""
"""Karnataka""","""Karnataka"""
,
"""Tamil Nadu""","""Tamil Nadu"""
"""Puducherry""","""Puducherry"""
"""Maharashtra""","""Maharashtra"""
"""Bihar""","""Bihar"""
"""Assam""","""Assam"""
"""Odisha""","""Odisha"""
"""Kerala""","""Kerala"""
"""West Bengal""","""West Bengal"""
"""Jharkhand""","""Jharkhand"""
"""Chhatisgarh""","""Chhatisgarh"""
"""Andhra Pradesh""","""Andhra Pradesh"""
"""Arunachal Pradesh""","""Arunachal Pradesh"""
"""Meghalaya""","""Meghalaya"""
"""Nagaland""","""Nagaland"""
"""Telangana""","""Telangana"""
"""Daman & Diu""","""Daman & Diu"""
"""Madhya Pradesh""","""Madhya Pradesh"""
"""Sikkim""","""Sikkim"""
"""Mizoram""","""Mizoram"""
"""Goa""","""Goa"""
"""Dadra & Nagar Haveli""","""Dadra & Nagar Haveli"""
"""Tripura""","""Tripura"""
"""Manipur""","""Manipur"""
"""Andaman & Nicobar Islands""","""Andaman & Nicobar Islands"""
"""Lakshadweep""","""Lakshadweep"""
"""Haryana""","""Haryana"""
"""Himachal Pradesh""","""Himachal Pradesh"""
"""Jammu and Kashmir""","""Jammu and Kashmir"""
"""Rajasthan""","""Rajasthan"""
"""Delhi""","""Delhi"""
"""Uttrakhand""","""Uttrakhand"""
"""Uttar Pradesh""","""Uttar Pradesh"""
"""Chandigarh""","""Chandigarh"""
"""Punjab""","""Punjab"""
